id,geopos,apartments,price,year
1000,"{'type': 'Point', 'coordinates': [37.525369, 55.531259]}",35,255138.0,1997
1001,"{'type': 'Point', 'coordinates': [37.526762, 55.53157]}",63,221395.0,1997
1002,"{'type': 'Point', 'coordinates': [37.525585, 55.532003]}",46,188281.0,1997
1003,"{'type': 'Point', 'coordinates': [37.527265, 55.532966]}",197,283995.0,2001
1004,"{'type': 'Point', 'coordinates': [37.535287, 55.533837]}",102,228796.0,1997
1005,"{'type': 'Point', 'coordinates': [37.533544, 55.533374]}",42,264284.0,1996
1006,"{'type': 'Point', 'coordinates': [37.532268, 55.533379]}",82,240171.0,1997
1007,"{'type': 'Point', 'coordinates': [37.531002, 55.532722]}",60,284974.0,1997
1008,"{'type': 'Point', 'coordinates': [37.530687, 55.533333]}",114,266633.0,1996
1009,"{'type': 'Point', 'coordinates': [37.528846, 55.533659]}",209,260150.0,2004
1010,"{'type': 'Point', 'coordinates': [37.531038, 55.534408]}",141,304943.0,1996
1011,"{'type': 'Point', 'coordinates': [37.532161, 55.535345]}",179,229032.0,1996
1012,"{'type': 'Point', 'coordinates': [37.534613, 55.534602]}",83,172725.0,1996
1013,"{'type': 'Point', 'coordinates': [37.535556, 55.534907]}",92,158750.0,1997
1014,"{'type': 'Point', 'coordinates': [37.534182, 55.535595]}",122,257851.0,1997
1015,"{'type': 'Point', 'coordinates': [37.533463, 55.536257]}",104,246261.0,1997
1016,"{'type': 'Point', 'coordinates': [37.533652, 55.536848]}",98,260251.0,1996
1017,"{'coordinates': [37.5672228020496, 55.539712333902884], 'type': 'Point'}",8,280855.0,1955
1018,"{'coordinates': [37.56722801263504, 55.539979626692], 'type': 'Point'}",7,265426.0,1955
1019,"{'coordinates': [37.566233228647945, 55.53999915096665], 'type': 'Point'}",6,242043.0,1955
1020,"{'coordinates': [37.56623569659999, 55.53973687424971], 'type': 'Point'}",8,309152.0,1955
1021,"{'type': 'Point', 'coordinates': [37.564796, 55.542747]}",146,260373.0,2009
1022,"{'type': 'Point', 'coordinates': [37.562434, 55.542492]}",264,239849.0,2009
1023,"{'type': 'Point', 'coordinates': [37.561958, 55.541285]}",33,240443.0,1964
1024,"{'type': 'Point', 'coordinates': [37.559083, 55.543857]}",287,311085.0,2002
1025,"{'type': 'Point', 'coordinates': [37.55999, 55.544377]}",112,227042.0,2002
1026,"{'type': 'Point', 'coordinates': [37.562335, 55.544061]}",72,253930.0,2009
1027,"{'type': 'Point', 'coordinates': [37.56158, 55.543674]}",96,293539.0,2008
1028,"{'type': 'Point', 'coordinates': [37.561473, 55.54292]}",92,234236.0,2009
1029,"{'type': 'Point', 'coordinates': [37.563548, 55.543526]}",179,273291.0,2009
1030,"{'type': 'Point', 'coordinates': [37.560844, 55.544937]}",102,301949.0,2000
1031,"{'type': 'Point', 'coordinates': [37.561535, 55.545564]}",215,318463.0,2002
1032,"{'type': 'Point', 'coordinates': [37.562497, 55.545793]}",59,194275.0,1972
1033,"{'type': 'Point', 'coordinates': [37.561796, 55.54619]}",101,308433.0,1972
1034,"{'type': 'Point', 'coordinates': [37.566377, 55.545722]}",379,248340.0,2011
1035,"{'type': 'Point', 'coordinates': [37.567608, 55.544576]}",180,191135.0,2009
1036,"{'type': 'Point', 'coordinates': [37.567204, 55.544082]}",112,218083.0,2016
1037,"{'type': 'Point', 'coordinates': [37.565632, 55.544413]}",58,304645.0,2009
1038,"{'type': 'Point', 'coordinates': [37.566261, 55.544097]}",85,223712.0,2009
1039,"{'type': 'Point', 'coordinates': [37.565793, 55.542971]}",127,221661.0,2017
1040,"{'type': 'Point', 'coordinates': [37.568515, 55.545263]}",139,230743.0,2009
1041,"{'type': 'Point', 'coordinates': [37.569117, 55.54616]}",79,206545.0,2017
1042,"{'type': 'Point', 'coordinates': [37.569728, 55.546791]}",34,181153.0,2008
1043,"{'type': 'Point', 'coordinates': [37.57068, 55.548721]}",236,194305.0,2008
1044,"{'type': 'Point', 'coordinates': [37.571749, 55.549618]}",41,193869.0,2008
1045,"{'type': 'Point', 'coordinates': [37.570752, 55.549399]}",114,197758.0,2007
1046,"{'type': 'Point', 'coordinates': [37.571363, 55.550213]}",161,192833.0,2008
1047,"{'type': 'Point', 'coordinates': [37.570644, 55.550753]}",197,265922.0,2008
1048,"{'type': 'Point', 'coordinates': [37.569423, 55.550606]}",187,203069.0,2009
1049,"{'type': 'Point', 'coordinates': [37.569171, 55.549923]}",147,227218.0,2008
1050,"{'type': 'Point', 'coordinates': [37.569099, 55.549022]}",328,312608.0,2006
1051,"{'type': 'Point', 'coordinates': [37.566449, 55.548451]}",226,249602.0,2002
1052,"{'type': 'Point', 'coordinates': [37.567276, 55.548024]}",103,272016.0,2005
1053,"{'type': 'Point', 'coordinates': [37.568533, 55.548024]}",296,198165.0,2006
1054,"{'type': 'Point', 'coordinates': [37.570204, 55.54781]}",143,204596.0,2007
1055,"{'type': 'Point', 'coordinates': [37.569432, 55.547178]}",80,179007.0,2007
1056,"{'type': 'Point', 'coordinates': [37.568596, 55.547148]}",74,198020.0,2005
1057,"{'type': 'Point', 'coordinates': [37.567887, 55.547672]}",53,214518.0,2005
1058,"{'type': 'Point', 'coordinates': [37.567653, 55.54702]}",71,199321.0,2005
1059,"{'type': 'Point', 'coordinates': [37.566584, 55.547397]}",148,186007.0,2005
1060,"{'type': 'Point', 'coordinates': [37.560871, 55.54808]}",55,194293.0,1999
1061,"{'type': 'Point', 'coordinates': [37.560224, 55.54866]}",94,237733.0,1999
1062,"{'type': 'Point', 'coordinates': [37.564904, 55.549501]}",114,209748.0,2001
1063,"{'type': 'Point', 'coordinates': [37.565129, 55.548238]}",87,230615.0,2001
1064,"{'type': 'Point', 'coordinates': [37.565111, 55.548884]}",83,256708.0,2001
1065,"{'type': 'Point', 'coordinates': [37.566584, 55.549714]}",198,281017.0,2002
1066,"{'type': 'Point', 'coordinates': [37.56485, 55.55059]}",152,181900.0,2002
1067,"{'type': 'Point', 'coordinates': [37.5645, 55.550096]}",113,298839.0,2001
1068,"{'type': 'Point', 'coordinates': [37.562595, 55.551415]}",159,260564.0,2002
1069,"{'type': 'Point', 'coordinates': [37.561032, 55.55167]}",121,181698.0,2000
1070,"{'type': 'Point', 'coordinates': [37.559586, 55.552144]}",109,371967.0,2000
1071,"{'type': 'Point', 'coordinates': [37.558167, 55.550611]}",72,308077.0,1999
1072,"{'type': 'Point', 'coordinates': [37.559101, 55.550743]}",37,178364.0,1999
1073,"{'type': 'Point', 'coordinates': [37.559451, 55.551431]}",114,210458.0,2000
1074,"{'type': 'Point', 'coordinates': [37.560996, 55.55057]}",216,287001.0,2001
1075,"{'type': 'Point', 'coordinates': [37.559155, 55.550193]}",164,282562.0,1999
1076,"{'type': 'Point', 'coordinates': [37.557475, 55.549536]}",253,197764.0,2002
1077,"{'type': 'Point', 'coordinates': [37.558059, 55.550101]}",123,203315.0,1999
1078,"{'type': 'Point', 'coordinates': [37.55602, 55.550173]}",158,229222.0,2002
1079,"{'type': 'Point', 'coordinates': [37.555643, 55.549577]}",106,245640.0,2003
1080,"{'type': 'Point', 'coordinates': [37.556559, 55.54921]}",168,261642.0,2003
1081,"{'type': 'Point', 'coordinates': [37.553235, 55.548569]}",279,229147.0,1994
1082,"{'type': 'Point', 'coordinates': [37.556271, 55.547392]}",123,241925.0,2003
1083,"{'type': 'Point', 'coordinates': [37.556954, 55.547937]}",101,281782.0,2002
1084,"{'type': 'Point', 'coordinates': [37.559451, 55.548294]}",147,175572.0,2000
1085,"{'type': 'Point', 'coordinates': [37.558391, 55.548044]}",283,206443.0,2002
1086,"{'type': 'Point', 'coordinates': [37.558939, 55.547107]}",109,280733.0,2000
1087,"{'type': 'Point', 'coordinates': [37.561814, 55.547382]}",232,311343.0,1977
1088,"{'type': 'Point', 'coordinates': [37.561104, 55.546526]}",98,252491.0,1971
1089,"{'type': 'Point', 'coordinates': [37.560323, 55.546862]}",58,255151.0,2000
1090,"{'type': 'Point', 'coordinates': [37.559523, 55.546735]}",69,191742.0,2000
1091,"{'type': 'Point', 'coordinates': [37.558841, 55.545503]}",59,243881.0,1999
1092,"{'type': 'Point', 'coordinates': [37.558805, 55.546083]}",104,257872.0,1999
1093,"{'type': 'Point', 'coordinates': [37.55778, 55.54619]}",172,212049.0,2001
1094,"{'type': 'Point', 'coordinates': [37.55734, 55.546735]}",368,215063.0,2002
1095,"{'type': 'Point', 'coordinates': [37.555445, 55.546053]}",262,227556.0,1994
1096,"{'type': 'Point', 'coordinates': [37.55513, 55.545217]}",169,173096.0,1994
1097,"{'type': 'Point', 'coordinates': [37.556289, 55.54484]}",264,219503.0,1994
1098,"{'type': 'Point', 'coordinates': [37.557879, 55.545258]}",97,204204.0,1999
1099,"{'type': 'Point', 'coordinates': [37.559631, 55.5451]}",71,223400.0,2000
1100,"{'type': 'Point', 'coordinates': [37.555562, 55.544245]}",85,189740.0,1995
1101,"{'type': 'Point', 'coordinates': [37.557053, 55.543542]}",214,308705.0,1994
1102,"{'type': 'Point', 'coordinates': [37.555795, 55.54343]}",105,265289.0,1994
1103,"{'type': 'Point', 'coordinates': [37.551941, 55.545421]}",422,266560.0,1995
1104,"{'type': 'Point', 'coordinates': [37.554412, 55.546949]}",313,290867.0,1996
1105,"{'type': 'Point', 'coordinates': [37.552633, 55.546908]}",220,243821.0,1996
1106,"{'type': 'Point', 'coordinates': [37.549184, 55.546083]}",344,184445.0,1996
1107,"{'type': 'Point', 'coordinates': [37.547441, 55.545284]}",277,249761.0,1994
1108,"{'type': 'Point', 'coordinates': [37.548627, 55.544275]}",107,245903.0,1994
1109,"{'type': 'Point', 'coordinates': [37.54983, 55.543903]}",252,267413.0,1994
1110,"{'type': 'Point', 'coordinates': [37.546587, 55.54399]}",94,227357.0,1995
1111,"{'type': 'Point', 'coordinates': [37.545959, 55.543292]}",39,187272.0,1995
